Painting,HueSD_z,SaturationSD_z,Brightness_z,BrightnessSD_z,ColourComponent_z,Entropy_z,StraightEdgeDensity_z,NonStraightEdgeDensity_z,Horizontal_Symmetry_z,Vertical_Symmetry_z
75.jpg,-0.15903732685250246,2.038907244195552,2.2322163119725165,-0.1818440576788778,-0.7942627567440194,0.7980573466393976,-0.5184529898262455,1.515118615518815,0.8277926860991124,0.5438400389345812
76.jpg,-0.137884610677456,0.8319951800765608,0.2643818995293422,-0.6124386235157311,0.09683785764521607,0.8641074164559961,-0.049944175232432025,1.8042739597480861,0.8859967399289083,-0.12186584707797861
77.jpg,-0.8412398163639468,0.45670357335944717,0.8042279122227622,1.1826933886303224,-0.9486943025360901,0.985010090457504,1.8136373690944558,-1.2904411238600075,-0.5860807881830377,-0.5962468130948022
78.jpg,-0.3780996952476483,0.44427011063274546,0.10529766355026936,-0.3762661279927,-0.3062589401836985,0.6374169699032477,0.555008929891406,0.1823226732349675,0.10751751995537571,-0.19787163721327114
79.jpg,0.6917220838111522,1.4193219589285229,1.8626923776819482,-0.7358641281811141,-0.25661308053483645,1.047905251985351,1.3849021302780506,-2.0036419533604546,0.5137333123091663,0.7495798501628712
80.jpg,1.5357216936183495,-1.8288833444385195,1.5816395924284934,-1.8738021898232777,0.6572283510796043,-1.8058610867801848,-0.034914875251835654,-2.5889940411153973,1.721467429277452,1.37597239645028
81.jpg,1.2762414539036913,-0.5564201897126668,-0.987217553629093,0.9569515648507095,1.3788902390282152,-0.5999892554654838,-0.7946719185501906,-0.5195400576746769,-1.6386040949385314,-1.0339353287014845
82.jpg,-0.1973918061589617,0.04325387398575391,-1.8654026331642912,-0.8875663717969516,-0.23303481083041455,-1.1767721968828957,0.8135731012271974,-0.11348768923096456,-1.5925258856566085,-2.1753326253883714
83.jpg,1.2046742559748005,0.7402827133339248,0.1410878055912799,1.3008959481343911,0.6424505422591584,-0.37540435725577853,0.6114587917757857,-1.1180432597200216,-0.7534174429437042,0.12973952716298848
84.jpg,-0.34152619633365117,1.3888526587966032,-0.8872924637984712,1.4472774137369797,2.132024220509323,-0.3552464522518623,-0.883718881267348,-0.34166792011329666,-0.6612610243798585,0.7980663024905581
85.jpg,0.5324826849760896,-0.10833973363010446,-0.15185938462805687,0.885783852903335,0.16265844798716494,1.3206984774620774,-0.3667464298662094,0.5976079081891018,-0.7522048584889168,0.04325017976765681
86.jpg,2.2148561070541706,0.8393920761930234,-0.21005852930933788,1.042629398730363,0.5940922207059507,0.8914907741634897,-0.5872863569502961,-0.5346657469126138,-1.2530022383161277,0.08125307483530307
87.jpg,0.25368881374660324,-1.4645164959571617,-0.637025842517197,-1.1416647466409489,0.8381887470614771,0.19452194172265894,-0.8081049066896623,1.3042614923106177,0.8568947130140103,0.2162288745583216
88.jpg,0.7659450915444536,0.20363293198042023,-1.5214943462166421,0.9766488482264363,0.7092062995604876,-0.5090496029025265,0.17497791052283931,-0.5605956753956212,-3.756989137452182,-1.850342350327123
89.jpg,0.14430048850391147,-1.2712648317736754,0.29734514841578386,0.21071588328500793,1.2622890776429658,0.9376494513303154,1.1881939768324568,-1.0794261202625832,0.44825375175064525,0.15463797565558435
90.jpg,-0.28327686625635146,0.5385852325190004,0.21059975418753757,1.2665148637484471,0.08924709088887971,1.1142025389357295,-0.35836069418929767,-0.5248397436843023,-0.039205199073903955,0.9762867759112425
91.jpg,-0.19326119290701665,-1.0126065765005636,-0.6264029338306664,-1.593144188086868,-0.19232774202389913,-0.8666502969873582,-0.004360000279109763,-1.3208578850148303,1.2437091540912026,0.4324522430466522
92.jpg,0.26205239195243396,-0.30991961347204966,0.10618556591523763,-0.7883719300978712,1.7439544359976662,0.07962448244432524,-1.26122430216209,1.9789678387366696,0.6895580582533438,0.7194396230402558
93.jpg,-0.06114553743666281,0.4770789936104036,0.3102679933833118,-0.6379877585969871,-0.3971470871414996,0.14218315219950198,0.06695535057171341,0.1513700645129497,0.3512469953676503,0.5897056019472569
94.jpg,-0.39398238230916105,-0.4249151963175881,1.7432399853327638,-1.0249944168144292,0.08925733565027892,0.07027383016911856,0.5035415256509479,-0.36092173328718813,1.3552669239316466,1.0313254515264552
95.jpg,-1.0533291232657336,-0.6343530733830477,-1.1346713912449522,-0.5639501932934461,-0.8063740501472382,-0.18698530482202752,-0.5272299234095016,0.9333564672142071,0.5537485993171513,-0.40230100378405625
96.jpg,0.979508720815325,0.36469187519436624,0.7714387979548243,0.6351138529778415,0.19345475083470468,0.8100257410281406,-0.024692825867809014,0.5924849577758684,0.9502637160326434,-0.446856122139227
97.jpg,0.7020207824141069,-1.012770878433765,-0.35403132647538965,0.09252176774018914,0.7711997781738426,0.555952187974596,-0.36187823626351123,0.175157475791942,0.8568947130140103,-0.9002699736359708
98.jpg,-0.11820863283198906,0.37204862722494664,-1.4058874907523995,-1.1884227513551806,-1.1625080453849879,-1.3626578570871997,-0.6900036460866101,0.7099642163682394,0.10387976659101247,-0.08124206269532257
99.jpg,1.7409061598671447,-0.21638956594341982,0.017881775012900985,1.2227376616033034,0.42157095233288316,0.6445066721987329,0.040708491258753345,-0.603309827573492,0.3197197995431764,0.7299231803002963
100.jpg,1.0392064929821752,-0.6230019040433425,1.1911714553192776,0.909172346531112,1.1184471835480745,0.9721918460218874,-0.0018358185692724887,-0.44233469600806513,0.6556056935192954,0.26602577154351337
101.jpg,-0.16783518610296913,-0.7095977387736344,-2.063608091483121,-0.6041909166102539,1.1524593156472744,-3.3090302173425963,-1.3589178966364608,-1.1699305411746537,-0.629733828555386,-1.0365562180164942
102.jpg,-0.3732733288452058,1.3684468111898487,-1.5534495384299538,-0.08871965998417698,-0.8537705305179818,-0.8125259695249707,0.16467881999343525,0.3985438622989565,-1.5088575582762767,-1.7245396632066388
103.jpg,1.4333242720627437,0.5757787652351578,-2.379073381615081,-0.8972691052634737,-0.8371094709997925,-4.941034208607322,-1.2249952000545041,-0.8355366284019323,-0.7303783383027427,-0.6250765955599128
104.jpg,1.267019869958743,0.13505383064144175,-0.856414557733381,1.1843726073221363,-1.1224173760298994,-0.6254647094593976,-1.0938715810661064,-0.27496147988951264,0.5028200522160792,-1.5659758596485291
105.jpg,-1.5239342167181216,-1.4977461674568253,-1.314996681753265,-0.9970660019665406,-1.4943641334562965,-1.8314288520898834,-0.4179021570380726,-1.9113900154551358,0.6531805246097208,0.49666403126439923
106.jpg,-1.2108455180929445,1.1220124320275342,-0.46346503642124076,0.6130441625945653,-0.3675928886298257,0.5363071524680687,-0.11700166006548808,-1.1892656156808896,-0.4999872918931298,-1.0431084413040201
107.jpg,2.307420188568262,-0.6772721451394469,0.44376394802889085,0.8893727159657518,0.7359332453219943,0.5470154002463092,-0.9329039707344126,-0.08863673642608669,-0.16773915128137276,-0.3656085533739149
